number,kanji,kanji,pronunciation,example,comments
2091,戻（戾）,戾,"レイ もどす もどる","戻入，返戻戻す，差し戻し戻る，後戻り",,
2092,例,例,"レイ たとえる","例外，例年，用例例える，例え，例えば",,
2093,鈴,铃,"レイ リン すず","電鈴，振鈴，予鈴風鈴，呼び鈴鈴",,
2094,零,零,レイ,零下，零細，零落,,
2095,霊（靈）,灵,"レイ リョウ たま","霊感，霊魂，霊長類悪霊，死霊霊，霊屋",,
2096,隷,隶,レイ,隷書，隷属，奴隷,,
2097,齢（齡）,龄,レイ,樹齢，年齢，妙齢,,
2098,麗,丽,"レイ うるわしい","麗人，端麗，美麗麗しい，麗しさ",,
2099,暦（曆）,历,"レキ こよみ","暦年，還暦，太陽暦暦，花暦",,
2100,歴（歷）,历,レキ,歴史，歴訪，経歴,,
2101,列,列,レツ,列外，列車，陳列,,
2102,劣,劣,"レツ おとる","劣等，卑劣，優劣劣る",,
2103,烈,烈,レツ,烈火，壮烈，猛烈,,
2104,裂,裂,"レツ さく さける","決裂，破裂，分裂裂く，八つ裂き裂ける，裂け目",⇔割く,
2105,恋（戀）,恋,"レン こう こい こいしい","恋愛，恋慕，失恋恋い慕う，恋い焦がれる恋，初恋，恋する恋しい，恋しがる",,
2106,連,连,"レン つらなる つらねる つれる","連合，連続，関連連なる連ねる連れる，連れ",,
2107,廉,廉,レン,廉価，清廉，破廉恥,,
2108,練（練）,练,"レン ねる","練習，試練，熟練練る，練り直す",,
2109,錬（鍊）,炼,レン,錬金術，鍛錬，精錬,,
2110,呂,吕,ロ,風呂,,
2111,炉（爐）,炉,ロ,炉辺，暖炉，原子炉,,
2112,賂,赂,ロ,賄賂,,
2113,路,路,"ロ じ","路上，道路家路，旅路，山路",,
2114,露,露,"ロ  ロウ つゆ","露出，露店，雨露披露露，夜露",,
2115,老,老,"ロウ おいる ふける","老巧，老人，長老老いる，老い老ける，老け役",老舗（しにせ）,
2116,労（勞）,劳,ロウ,労働，労力，疲労,,
2117,弄,弄,"ロウ もてあそぶ","愚弄，翻弄弄ぶ",,
2118,郎（郞）,郎,ロウ,新郎,,
2119,朗（朗）,朗,"ロウ ほがらか","朗読，朗々と，明朗朗らかだ，朗らかさ",,
2120,浪,浪,ロウ,浪費，波浪，放浪,,
2121,廊（廊）,廊,ロウ,廊下，回廊，画廊,,
2122,楼（樓）,楼,ロウ,楼閣，鐘楼，望楼,,
2123,漏,漏,"ロウ もる もれる もらす","漏電，疎漏，脱漏漏る，雨漏り漏れる漏らす",,
2124,籠,笼,"ロウ かご こもる","籠城籠籠もる",,
2125,六,六,"ロク む むつ むっつ  むい","六月，六法，丈六六月目六つ切り六つ六日",,
2126,録（錄）,录,ロク,録音，記録，実録,,
2127,麓,麓,"ロク ふもと","山麓麓",,
2128,論,论,ロン,論証，論理，議論,,
2129,和,和,"ワ  オ やわらぐ やわらげる なごむ なごやか","和解，和服，柔和和尚和らぐ和らげる和む和やかだ","日和（ひより）大和（やまと）",
2130,話,话,"ワ はなす はなし","話題，会話，童話話す，話し合い話，昔話，立ち話",,
2131,賄,贿,"ワイ まかなう","収賄，贈賄賄う，賄い",,
2132,脇,胁,わき,脇腹，両脇,,
2133,惑,惑,"ワク まどう","惑星，迷惑，誘惑惑う，惑い",,
2134,枠,樺,わく,枠，枠内，窓枠,,
2135,湾（灣）,湾,ワン,湾内，湾入，港湾,,
2136,腕,腕,"ワン うで","腕章，腕力，敏腕腕，腕前，細腕",,
